"201410";"1";"COD78";"CRN-81";"Login estudiante2519";"4,26";"4,53";"3,88";
"201410";"1";"COD78";"CRN-81";"Login estudiante2520";"3,87";"4,76";"4,1";
"201410";"1";"COD78";"CRN-81";"Login estudiante2521";"3,91";"4,35";"4,09";
"201410";"1";"COD78";"CRN-81";"Login estudiante2522";"4,25";"4,38";"3,97";
"201410";"1";"COD78";"CRN-81";"Login estudiante2523";"4,4";"3,18";"3,9";
"201410";"1";"COD78";"CRN-81";"Login estudiante2524";"4,14";"3,18";"3,86";
"201410";"1";"COD78";"CRN-81";"Login estudiante2525";"3,91";"3,37";"4,07";
"201410";"1";"COD78";"CRN-81";"Login estudiante2526";"3,9";"3,21";"3,97";
"201410";"1";"COD78";"CRN-81";"Login estudiante2527";"4,2";"3";"3,91";
"201410";"1";"COD78";"CRN-81";"Login estudiante2528";"3,61";"3";"3,68";
"201410";"1";"COD78";"CRN-81";"Login estudiante2529";"2,73";"1,67";"3,12";
"201410";"1";"COD78";"CRN-81";"Login estudiante2530";"3,68";"2,68";"3,51";
"201410";"1";"COD67";"CRN-68";"Login estudiante2531";"3,95";"5,97";"3,73";
"201410";"1";"COD67";"CRN-68";"Login estudiante2532";"3,67";"5,11";"3,83";
"201410";"1";"COD67";"CRN-68";"Login estudiante2533";"4,19";"5,8";"3,9";
"201410";"1";"COD67";"CRN-68";"Login estudiante2534";"4,17";"5,66";"4,23";
"201410";"1";"COD67";"CRN-68";"Login estudiante2535";"4,12";"5,47";"4,22";
"201410";"1";"COD67";"CRN-68";"Login estudiante2536";"4,29";"5,6";"4,34";
"201410";"1";"COD67";"CRN-68";"Login estudiante2537";"4,11";"5,32";"4,36";
"201410";"1";"COD67";"CRN-68";"Login estudiante2538";"3,81";"4,37";"3,42";
"201410";"1";"COD67";"CRN-68";"Login estudiante2539";"3,28";"4,3";"3,56";
"201410";"1";"COD67";"CRN-68";"Login estudiante2540";"4,59";"5,32";"4,43";
"201410";"1";"COD67";"CRN-68";"Login estudiante2541";"3,72";"4,39";"4,07";
"201410";"1";"COD67";"CRN-68";"Login estudiante2542";"4,55";"4,47";"4,37";
"201410";"1";"COD67";"CRN-68";"Login estudiante2543";"4,61";"5,2";"4,45";
"201410";"1";"COD67";"CRN-68";"Login estudiante2544";"4,85";"4,78";"4,45";
"201410";"1";"COD67";"CRN-68";"Login estudiante2545";"4,03";"4,85";"4,12";
"201410";"1";"COD67";"CRN-68";"Login estudiante2546";"3,02";"3,45";"3,16";
"201410";"1";"COD67";"CRN-68";"Login estudiante2547";"4,7";"4,71";"4,46";
"201410";"1";"COD67";"CRN-68";"Login estudiante2548";"4,64";"4,21";"4,55";
"201410";"1";"COD67";"CRN-68";"Login estudiante2549";"4,43";"4,87";"4,37";
"201410";"1";"COD67";"CRN-68";"Login estudiante2550";"3,29";"3,83";"3,97";
"201410";"1";"COD67";"CRN-68";"Login estudiante2551";"2,98";"2,56";"3,28";
