"201320";"COD1861";"CRN-1862";"0";"24";
"201320";"COD1861";"CRN-1863";"0";"33";
"201410";"COD78";"CRN-81";"0";"18";
"201410";"COD67";"CRN-68";"2";"25";
"201410";"COD1874";"CRN-1875";"6";"25";
"201410";"COD1867";"CRN-1868";"1";"26";
"201410";"COD1821";"CRN-1822";"1";"40";
"201410";"COD39";"CRN-40";"0";"58";
"201410";"COD103";"CRN-104";"3";"57";
"201410";"COD18";"CRN-19";"11";"58";
"201410";"COD122";"CRN-123";"3";"76";
"201410";"COD110";"CRN-111";"0";"11";
"201410";"COD88";"CRN-93";"4";"70";
"201420";"COD1231";"CRN-2369";"5";"102";
"201420";"COD1231";"CRN-2370";"1";"28";
"201420";"COD67";"CRN-2371";"0";"21";
"201420";"COD2372";"CRN-2373";"0";"36";
"201420";"COD1874";"CRN-2374";"1";"37";
"201420";"COD1803";"CRN-2375";"2";"18";
"201420";"COD186";"CRN-2376";"7";"118";
"201420";"COD103";"CRN-2377";"3";"53";
"201420";"COD290";"CRN-2378";"1";"26";
"201420";"COD18";"CRN-2379";"15";"55";
"201420";"COD237";"CRN-2380";"0";"12";
"201420";"COD210";"CRN-2381";"2";"26";
"201420";"COD210";"CRN-2382";"2";"26";
"201420";"COD284";"CRN-2383";"1";"27";
"201420";"COD51";"CRN-2384";"6";"75";
"201420";"COD6";"CRN-2385";"7";"79";
"201420";"COD57";"CRN-2386";"7";"91";
"201420";"COD110";"CRN-2387";"0";"2";
"201420";"COD88";"CRN-2388";"4";"72";
"201510";"COD276";"CRN-277";"0";"16";
"201510";"COD160";"CRN-161";"2";"15";
"201510";"COD218";"CRN-219";"15";"76";
"201510";"COD1231";"CRN-1253";"5";"106";
"201510";"COD1231";"CRN-1248";"5";"103";
"201510";"COD1231";"CRN-1238";"9";"102";
"201510";"COD1231";"CRN-1243";"10";"86";
"201510";"COD251";"CRN-252";"2";"16";
"201510";"COD1874";"CRN-1876";"1";"19";
"201510";"COD1787";"CRN-1788";"1";"26";
"201510";"COD1809";"CRN-1810";"1";"10";
"201510";"COD178";"CRN-179";"18";"57";
"201510";"COD39";"CRN-41";"1";"43";
"201510";"COD260";"CRN-261";"0";"30";
"201510";"COD18";"CRN-20";"18";"64";
"201510";"COD237";"CRN-238";"0";"10";
"201510";"COD226";"CRN-2389";"1";"53";
"201510";"COD192";"CRN-193";"3";"48";
"201510";"COD148";"CRN-149";"6";"83";
"201510";"COD6";"CRN-7";"9";"83";
"201510";"COD171";"CRN-172";"9";"77";
"201510";"COD122";"CRN-124";"2";"74";
"201510";"COD2390";"CRN-58";"0";"34";
"201510";"COD110";"CRN-112";"0";"6";
"201510";"COD1480";"CRN-1483";"0";"35";
"201510";"COD1445";"CRN-1446";"0";"25";
"201510";"COD1437";"CRN-1438";"0";"26";
"201510";"COD88";"CRN-94";"9";"70";
"201511";"COD1727";"CRN-1728";"0";"22";
"201512";"COD1716";"CRN-1719";"1";"19";
"201513";"COD1734";"CRN-1737";"1";"18";
"201513";"COD1488";"CRN-1491";"2";"38";
"201513";"COD1473";"CRN-1476";"0";"34";
"201515";"COD1763";"CRN-1764";"1";"18";
"201519";"COD237";"CRN-239";"1";"18";
"201520";"COD276";"CRN-278";"0";"16";
"201520";"COD218";"CRN-220";"6";"74";
"201520";"COD1231";"CRN-1269";"2";"100";
"201520";"COD1231";"CRN-1268";"2";"100";
"201520";"COD1231";"CRN-1271";"8";"100";
"201520";"COD1231";"CRN-1272";"4";"95";
"201520";"COD1231";"CRN-1270";"6";"103";
"201520";"COD67";"CRN-69";"1";"25";
"201520";"COD1793";"CRN-1794";"6";"70";
"201520";"COD1874";"CRN-1877";"1";"15";
"201520";"COD178";"CRN-180";"7";"38";
"201520";"COD39";"CRN-42";"3";"42";
"201520";"COD18";"CRN-21";"15";"60";
"201520";"COD237";"CRN-240";"0";"13";
"201520";"COD226";"CRN-227";"1";"27";
"201520";"COD192";"CRN-194";"4";"52";
"201520";"COD148";"CRN-150";"11";"81";
"201520";"COD210";"CRN-211";"0";"24";
"201520";"COD210";"CRN-212";"1";"17";
"201520";"COD6";"CRN-8";"4";"82";
"201520";"COD122";"CRN-125";"2";"54";
"201520";"COD2390";"CRN-59";"0";"50";
"201520";"COD110";"CRN-113";"0";"2";
"201520";"COD1497";"CRN-1500";"3";"40";
"201520";"COD1463";"CRN-1468";"0";"36";
"201520";"COD1452";"CRN-1453";"3";"36";
"201520";"COD88";"CRN-95";"2";"51";
"201610";"COD480";"CRN-481";"4";"25";
"201610";"COD78";"CRN-82";"0";"17";
"201610";"COD1574";"CRN-1575";"1";"18";
"201610";"COD1566";"CRN-1569";"0";"18";
"201610";"COD1582";"CRN-1585";"0";"16";
"201610";"COD1231";"CRN-1280";"4";"46";
"201610";"COD1231";"CRN-1282";"8";"101";
"201610";"COD1231";"CRN-1285";"3";"104";
"201610";"COD1231";"CRN-1281";"3";"26";
"201610";"COD1231";"CRN-1284";"3";"101";
"201610";"COD1231";"CRN-1283";"5";"104";
"201610";"COD1231";"CRN-1279";"4";"102";
"201610";"COD67";"CRN-70";"1";"24";
"201610";"COD317";"CRN-318";"1";"46";
"201610";"COD1874";"CRN-1878";"2";"14";
"201610";"COD362";"CRN-367";"10";"93";
"201610";"COD362";"CRN-368";"12";"62";
"201610";"COD355";"CRN-356";"12";"100";
"201610";"COD982";"CRN-983";"2";"68";
"201610";"COD39";"CRN-43";"7";"39";
"201610";"COD260";"CRN-262";"0";"46";
"201610";"COD18";"CRN-22";"12";"59";
"201610";"COD957";"CRN-960";"3";"65";
"201610";"COD957";"CRN-961";"3";"43";
"201610";"COD957";"CRN-962";"3";"40";
"201610";"COD237";"CRN-241";"0";"20";
"201610";"COD226";"CRN-228";"3";"60";
"201610";"COD948";"CRN-949";"4";"41";
"201610";"COD343";"CRN-346";"0";"90";
"201610";"COD192";"CRN-195";"4";"67";
"201610";"COD148";"CRN-151";"12";"79";
"201610";"COD381";"CRN-384";"4";"25";
"201610";"COD381";"CRN-385";"2";"25";
"201610";"COD6";"CRN-9";"3";"71";
"201610";"COD397";"CRN-398";"1";"43";
"201610";"COD490";"CRN-491";"1";"77";
"201610";"COD122";"CRN-126";"1";"53";
"201610";"COD333";"CRN-334";"1";"64";
"201610";"COD2390";"CRN-60";"0";"31";
"201610";"COD110";"CRN-114";"0";"3";
"201610";"COD141";"CRN-142";"9";"43";
"201610";"COD1480";"CRN-1484";"1";"38";
"201610";"COD1445";"CRN-1447";"1";"29";
"201610";"COD1437";"CRN-1439";"2";"66";
